,observation_id,species,Range.size,location_name
1,1676,austera,38474764.71,Global estimate
26,91874,austera,82945176.51,Global estimate
2,2584,cervicornis,3772055.817,Global estimate
3,3262,cytherea,42467007.32,Global estimate
27,91974,cytherea,105598390.3,Global estimate
4,3569,digitifera,39226209.98,Global estimate
28,91994,digitifera,77938426.89,Global estimate
5,4601,florida,33735645.15,Global estimate
29,92064,florida,66956892.61,Global estimate
7,5577,horrida,37908584.66,Global estimate
31,92124,horrida,89664548.79,Global estimate
8,5781,hyacinthus,44086198.99,Global estimate
32,92134,hyacinthus,110136269.9,Global estimate
9,6136,jacquelineae,6605475.69,Global estimate
10,6310,kimbeensis,4752789.39,Global estimate
33,92164,kimbeensis,12592149.58,Global estimate
11,6389,kirstyae,23414811.11,Global estimate
34,92169,kirstyae,31001053.06,Global estimate
12,7671,microphthalma,39906453.55,Global estimate
35,92254,microphthalma,97134711.5,Global estimate
13,7766,millepora,28567708.96,Global estimate
36,92259,millepora,57582313.61,Global estimate
6,4686,muricata,40698614.49,Global estimate
30,92069,muricata,97049163.07,Global estimate
14,8797,palmata,3902044.047,Global estimate
15,9032,papillare,13177236.78,Global estimate
37,92334,papillare,11663226.61,Global estimate
16,9444,pichoni,6447233.995,Global estimate
38,92364,pichoni,13410528.46,Global estimate
17,10140,pulchra,37983022.81,Global estimate
39,92409,pulchra,78500558.51,Global estimate
18,10944,sarmentosa,32854817.76,Global estimate
40,92459,sarmentosa,49456429.43,Global estimate
19,11512,solitaryensis,27899555.36,Global estimate
41,92499,solitaryensis,44857577.12,Global estimate
20,11763,spicifera,23305865.23,Global estimate
42,92509,spicifera,40523097.84,Global estimate
21,12498,tenuis,39769576.37,Global estimate
43,92554,tenuis,85737791.38,Global estimate
22,12909,tortuosa,14910296.65,Global estimate
44,92584,tortuosa,30550875.28,Global estimate
23,13283,valida,45590547.55,Global estimate
45,92609,valida,117554486.3,Global estimate
24,13704,walindii,4300900.104,Global estimate
46,92639,walindii,23562685.1,Global estimate
25,13937,yongei,23408383.14,Global estimate
47,92649,yongei,52841669.65,Global estimate