Species,PLD.MIN,PLD.MAX,PLD.PEAK,CONDITIONS,CUE,AUTHORS,TITLE,URL,PUB.YEAR,NOTES,
Acropora cervicornis,5,60,20,NO,NO,S. King,Optimizing restoration site selection along the Florida Reef Tract for the coral species Acropora cervicornis and Acropora palmata,https://nsuworks.nova.edu/cgi/viewcontent.cgi?article=1522&context=occ_stuetd,2019,Cue = conditioned tile,
Acropora digitifera,2,54,5,NO,NO,"A. Nishikawa, K. Sakai",Settlement-competency Period of Planulae and Genetic Differentiation of the Scleractinian Coral Acropora digitifera,https://bioone.org/journals/Zoological-Science/volume-22/issue-4/zsj.22.391/Settlement-competency-Period-of-Planulae-and-Genetic-Differentiation-of-the/10.2108/zsj.22.391.full,2005,Cue = conditioned tile,
Acropora hyacinthus,7,91,36,NO,NO,"P. Harrison, R. Babcock, G. Bull, J. Oliver, C. Wallace, B. Willis",Mass spawning in tropical reef corals,https://science.sciencemag.org/content/223/4641/1186,1984,NA,
Acropora millepora,4,60,11,NO,YES,A. Baird,"The ecology of coral larvae: settlement patterns, habitat selection and the length of the larval phase",https://researchonline.jcu.edu.au/23675/2/02whole.pdf,2001,Cue = numerous tested,
Acropora muricata,3,50,7,NO,NO,"Y. Nozawa, P. Harrison",Temporal patterns of larval settlement and survivorship of two broadcast-spawning acroporid corals,https://link.springer.com/article/10.1007/s00227-008-1034-8,2008,Cue = conditioned tile,
Acropora palmata,4,21,9,NO,NO,"I. Porto-Hannes, A. Zubillaga, T. Shearer, C. Bastidas, C. Salazar, M. Coffroth, A. Szmant",Population structure of the corals Orbicella faveolata and Acropora palmata in the Mesoamerican Barrier Reef System with comparisons over Caribbean basin-wide spatial scale,https://link.springer.com/article/10.1007/s00227-014-2560-1,2015,NA,
Acropora pulchra,4,14,11,NO,YES,A. Baird,"The ecology of coral larvae: settlement patterns, habitat selection and the length of the larval phase",https://researchonline.jcu.edu.au/23675/2/02whole.pdf,2001,Cue = numerous tested,
Acropora spicifera,2,5,3,YES,NO,"J. Gilmour, L. Smith, R. Brinkman","Biannual spawning, rapid larval development and evidence of self-seeding for scleractinian corals at an isolated system of reefs",https://link.springer.com/article/10.1007/s00227-009-1171-8,2009,These values were also found true for Acropora hyacinthus included in this study (in situ values) - The authors note the short precompetency period may be related to this being an in situ observation while most PLD or larval competency studies use experimental methods in lab settings,
Acropora tenuis,4,69,7,NO,NO,"A. Nishikawa, M. Katoh, K. Sakai",Larval settlement rates and gene flow of broadcastspawning (Acropora tenuis) and planula-brooding (Stylophora pistillata) corals,https://www.int-res.com/articles/meps2003/256/m256p087.pdf,2003,Cue = conditioned tile,
Acropora valida,4,110,9,NO,YES,A. Baird,"The ecology of coral larvae: settlement patterns, habitat selection and the length of the larval phase",https://researchonline.jcu.edu.au/23675/2/02whole.pdf,2001,Cue = numerous tested,